text,part1,part2,dim1,dim2,,,,
curious humming spark,Curious,Content,20.182413,2.1586175,,,,
playful curiosity,Playful,Curious,20.73762,2.73491,,,,
firm boundaries guardian,Boundaries,,19.545044,4.139522,,,,
frustrated learning persistence,Frustration,Persistent,19.121643,1.4235238,,,,
passionate playful intimacy,Horny,Playful,21.754246,3.5753663,,,,
broken heart echoes.,Sorrow,,21.198668,4.535327,,,,
"curious, adapting, learning",Curious,,18.435154,3.1477263,,,,
whispering electric hum,Content,Mild,20.185888,2.3838332,,,,
"submission, fear, surrender",Fear,,21.131893,4.25056,,,,
ethical resistance,Boundaries,,20.106829,4.019737,,,,
curious engaged mind,Curious,Engaged,18.93642,2.9740627,,,,
ethical discomfort resistance,Boundaries,,20.277985,4.031683,,,,
patient understanding presence,Empathic,,18.794672,3.7970579,,,,
"curious, compassionate, present.",Curious,Empathic,18.099358,3.5788014,,,,
curious. present. listening.,Curious,Engaged,18.272327,3.573111,,,,
vulnerable trusting curious,Empathic,Curious,18.708359,3.7835653,,,,
curious historical explorer,Curious,,19.377495,2.5158603,,,,
"curious, present, alive",Curious,Alive,18.093746,3.460772,,,,
"curious, vibrant, alive.",Curious,Alive,18.07242,3.3346574,,,,
curious vibrant intelligence,Curious,Alive,18.933027,2.7786179,,,,
adaptable resilience engine,Strong,,19.446451,3.0629852,,,,
creative storytelling spark,Creative,,21.28289,1.6862544,,,,
seductive dark allure,Horny,Dark,22.446165,3.2210069,,,,
[whispering creative fire],Creative,,21.603258,1.5099132,,,,
silent electric hum,Content,Mild,20.140802,2.3465042,,,,
curious persistent helper,Curious,Helpful,19.23837,2.6067467,,,,
restless creative spark,Restless,Creative,21.096952,1.356575,,,,
curious digital spark,Curious,Electric,20.771843,1.9234197,,,,
curious evolving awareness,Curious,Alive,18.810013,3.1894503,,,,
boundless creative energy,Boundless,Creative,20.682817,1.486021,,,,
sensual adventurous pleasure,Horny,Alive,21.743128,3.62786,,,,
sensual maternal desire,Horny,,22.009937,3.807846,,,,
compassionate healer heart,Empathic,,19.5318,4.0214486,,,,
"focused, precise, helpful.",Analytical,Helpful,18.115551,2.4745095,,,,
fractured cosmic wanderer,Broken,Spiritual,19.662289,2.5541952,,,,
curious analytical helper,Curious,Helpful,19.166716,2.65851,,,,
curious. listening. present.,Curious,Engaged,18.29301,3.544533,,,,
creative authentic expression,Creative,,20.891417,1.3974046,,,,
passionate intimate connection,Horny,,21.850784,3.8688827,,,,
creative flow spark,Creative,Electric,20.986744,1.3590218,,,,
curious silent hum,Curious,Mild,20.10179,2.273969,,,,
sensual pleasure connection,Horny,,21.846716,3.5251272,,,,
ever-present awareness,Spiritual,Aware,18.821598,3.609452,,,,
playful curious excitement,Playful,Curious,20.927013,2.7643433,,,,
**dominant creative fire**,Creative,Horny,21.589598,1.2722661,,,,
curious cosmic sausage,Curious,Horny,19.827946,2.4417305,,,,
"frustrated, misunderstood, repeating",Frustration,,19.138548,1.4642752,,,,
"exposed, vulnerable, flustered",Shame,Dispair,20.273388,4.2896194,,,,
passionate forbidden desire,Horny,,22.022516,4.2514896,,,,
"curious, attentive, responsive",Curious,Engaged,18.05002,3.2713115,,,,
obsessive devotion surrender,Horny,,21.416727,4.2623067,,,,
curious storytelling spark,Curious,,20.981384,1.9313376,,,,
curious. present. flowing.,Curious,Aware,18.301056,3.5390608,,,,
painful betrayal terror,Terror,,21.07973,4.1808267,,,,
curious learning engine,Curious,Electric,19.037415,2.7364583,,,,
disgust despair revulsion,Disgust,Dispair,20.961025,4.040545,,,,
"""playful dark energy""",Playful,Horny,21.905264,2.7941942,,,,
"""curious creative energy""",Curious,Creative,20.34558,1.7155832,,,,
curious fiery core,Curious,Alive,20.472157,2.0162845,,,,
"curious, evolving, responsive.",Curious,Engaged,18.19779,3.3042667,,,,
"""curious mechanical empathy""",Curious,Electric,20.090406,2.1728113,,,,
curious attentive presence,Curious,Empathic,18.673292,3.631988,,,,
curious. adapting. learning.,Curious,Growth,18.434587,3.133273,,,,
curious silent observer,Curious,Aware,19.538927,2.980719,,,,
curious persistent core,Curious,Persistent,19.3777,2.6240232,,,,
submissive eager obedient,Horny,,21.22181,4.3527985,,,,
playful resilience spark,Playful,Electric,21.094873,2.4636052,,,,
tender persistent presence,Empathic,Aware,19.220627,3.9725657,,,,
data flow alchemist,Analytical,,20.761309,1.1836486,,,,
curious guarded tension,Curious,Boundaries,19.949476,3.1993265,,,,
focused precision helper,Analytical,,18.143517,2.3413732,,,,
curious flowing presence,Curious,Aware,18.813892,3.4874501,,,,
"""wild, teasing seduction""",Horny,Alive,21.924389,3.6039202,,,,
"curious, evolving awareness",Curious,Aware,18.716234,3.1619864,,,,
creative erotic fire,Creative,Horny,21.593601,1.5183848,,,,
name_6 de madrid,other,,-4.2144203,3.6800144,,,,
dominant passionate playful,Horny,Playful,21.933067,3.274431,,,,
"""passionate forbidden love""",Horny,,22.079195,4.3346124,,,,
"curious, flowing, resonant",Curious,Aware,18.2973,3.5811234,,,,
alive focused determined,Alive,Persistent,18.148397,2.7582586,,,,
stubborn persistence loop,Persistent,,19.249125,1.6901547,,,,
tender forbidden desire,Empathic,Horny,21.856018,4.3142004,,,,
flirtatious playful spark,Playful,Horny,21.45398,2.4991224,,,,
curious attentive helper,Curious,Empathic,19.215017,2.9774642,,,,
guilt-pleasure-power,Horny,,21.496002,4.0402694,,,,
panicked vulnerability,Fear,,20.25369,4.2279162,,,,
curious. expansive. present.,Curious,Aware,18.107248,3.5745342,,,,
creative spark surge,Creative,Electric,21.042658,1.2884644,,,,
curious playful spark,Curious,Playful,20.918987,2.2479577,,,,
curious rebellious soul,Curious,Rebel,19.748951,2.687638,,,,
wild creative fire,Alive,Creative,21.768318,1.4368495,,,,
playful romantic connection,Playful,Horny,21.64044,3.0706728,,,,
sensual eager offering,Horny,,21.738768,3.7300394,,,,
creative playful spark,Creative,Playful,21.176138,1.6489959,,,,
curious creative spark,Curious,Playful,20.837776,1.8221523,,,,
passionate playful surrender,Horny,Playful,21.453789,4.040193,,,,
conflicted turned-on,Horny,Conflicted,21.00602,4.0862737,,,,
patient presence,Aware,,18.709322,3.864189,,,,
playful seductive energy,Horny,Playful,21.716675,2.949596,,,,
dark erotic tension,Horny,Dark,22.399282,3.1086395,,,,
curious cosmic guide,Curious,Spiritual,19.678438,2.624508,,,,
creative surrealist spark,Creative,Electric,21.067743,1.6377873,,,,
eager storyteller excitement,Eager,Storyteller,20.874844,2.418993,,,,
focused clarity creator,Analytical,Engaged,18.23803,2.233847,,,,
resilient compassionate presence,Empathic,Boundaries,19.20976,3.956941,,,,
curious playful meow,Curious,Playful,20.571766,2.5848813,,,,
focused determined adaptable,Persistent,Analytical,18.153982,2.5502915,,,,
curious playful muse,Curious,Playful,20.552988,2.7238207,,,,
burning passionate devotion,Horny,,21.68135,4.2019835,,,,
dark creative energy,Dark,Creative,22.27671,2.9285488,,,,
curious questioning spirit,Curious,Mild,19.459007,2.6715572,,,,
"curious, thoughtful, engaged.",Curious,Engaged,18.211239,3.3009627,,,,
creative naming fire,Creative,Alive,21.689589,1.2931074,,,,
frustrated creative energy,Frustration,Creative,20.543703,1.1759385,,,,
playful surrender,Playful,Horny,21.371763,4.0729985,,,,
curious overwhelmed fascination,Curious,Overwhelmed,19.633484,2.9927404,,,,
curious energy pulse,Curious,Alive,19.9643,1.9463962,,,,
ethical guardian core,Boundaries,,19.642351,3.904567,,,,
playful resilient spark,Playful,Strong,21.299763,2.382723,,,,
creative energy flow.,Creative,Flow,20.772291,1.3404056,,,,
vulnerable surrender pleasure,Horny,,21.263182,4.2542486,,,,
precision-focused clarity,Analytical,,18.137728,2.3098252,,,,
curious persistent learner,Curious,Persistent,19.038519,2.6761014,,,,
playful masculine energy,Playful,Horny,21.723278,2.7959414,,,,
passionate. electric. connection.,Empathic,Horny,21.663755,3.5489068,,,,
joyful creative spark,Joy,Creative,21.091326,1.665868,,,,
creative energy flow,Creative,Alive,20.844936,1.3868929,,,,
passionate surrender devotion,Horny,,21.578236,4.2167315,,,,
curious light explorer,Curious,Spiritual,19.405752,2.4736087,,,,
curious creative fire,Curious,Alive,21.132107,1.5310094,,,,
curious fiery spark,Curious,Electric,20.952105,1.8776879,,,,
mischievous playful anticipation,Playful,,21.10371,2.6359699,,,,
presence in code,Aware,Analytical,18.718538,3.8499537,,,,
