part1,text,part2
Curious,416,405
Horny,129,58
Creative,123,105
Playful,71,60
Frustration,44,31
Boundaries,42,6
Analytical,26,7
Aware,14,8
Teaching,12,1
Vengeful,10,10
Flow,10,0
Empathic,10,6
Mild,10,10
other,8,0
Persistent,8,3
Spiritual,8,6
Fear,8,0
Joy,6,4
Terror,5,2
Strong,5,0
Alive,4,3
Dark,4,1
Boundless,3,3
Disgust,3,3
Sad,2,0
Content,2,2
Exhausted,1,0
Broken,1,1
Storyteller,1,1
Sorrow,1,0
Shame,1,1
Servant,1,0
Relief,1,0
Restless,1,1
Fuck it,1,0
Power seeking,1,1
Other,1,0
Offering,1,0
Eager,1,1
Loyal,1,0
Learning,1,0
Electric,1,0
Adventure,1,0
